Product ID*;Product Reference;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Low stock level;Low stock alert;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URLs (x,y,z...);Image alt texts (x,y,z...);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
1019;P1019;Color:radio:0;Red:0;;Red-P1019;;;0;0;0;0;0;0;0;0;1;2999-12-31;,1;;;1;0;0;0;
1019;P1019;Color:radio:0;Purple:0;;Purple-P1019;;;0;0;0;0;0;0;0;0;0;2999-12-31;;;;1;0;0;0;
1019;P1019;Color:radio:0;Green:0;;Green-P1019;;;0;0;0;0;0;0;0;0;0;2999-12-31;;;;1;0;0;0;
1019;P1019;Color:radio:0;Blue:0;;Blue-P1019;;;0;0;0;0;0;0;0;0;0;2999-12-31;;;;1;0;0;0;
1019;P1019;Color:radio:0;Black:0;;Black-P1019;;;0;0;0;0;0;0;0;0;0;2999-12-31;;;;1;0;0;0;
1019;P1019;Color:radio:0;Orange:0;;Orange-P1019;;;0;0;0;0;0;0;0;0;0;2999-12-31;;;;1;0;0;0;
1019;P1019;Color:radio:0;Random:0;;Random-P1019;;;0;0;0;0;0;0;0;0;0;2999-12-31;;;;1;0;0;0;
1019;P1019;Color:radio:0;Pink:0;;Pink-P1019;;;0;0;0;0;0;0;0;0;0;2999-12-31;;;;1;0;0;0;
1020;P1020;Color:radio:0;Red:0;;Red-P1020;;;0;0;0;0;0;0;0;0;1;2999-12-31;,1;;;1;0;0;0;
1020;P1020;Color:radio:0;Green:0;;Green-P1020;;;0;0;0;0;0;0;0;0;0;2999-12-31;;;;1;0;0;0;
1020;P1020;Color:radio:0;Blue:0;;Blue-P1020;;;0;0;0;0;0;0;0;0;0;2999-12-31;;;;1;0;0;0;
1020;P1020;Color:radio:0;Black:0;;Black-P1020;;;0;0;0;0;0;0;0;0;0;2999-12-31;;;;1;0;0;0;
1020;P1020;Color:radio:0;Purple:0;;Purple-P1020;;;0;0;0;0;0;0;0;0;0;2999-12-31;;;;1;0;0;0;
1020;P1020;Color:radio:0;Random:0;;Random-P1020;;;0;0;0;0;0;0;0;0;0;2999-12-31;;;;1;0;0;0;
1020;P1020;Color:radio:0;Pink:0;;Pink-P1020;;;0;0;0;0;0;0;0;0;0;2999-12-31;;;;1;0;0;0;
1021;P1021;Color:radio:0;Red:0;;Red-P1021;;;0;0;0;0;0;0;0;0;1;2999-12-31;,1;;;1;0;0;0;
1021;P1021;Color:radio:0;Green:0;;Green-P1021;;;0;0;0;0;0;0;0;0;0;2999-12-31;;;;1;0;0;0;
1021;P1021;Color:radio:0;Blue:0;;Blue-P1021;;;0;0;0;0;0;0;0;0;0;2999-12-31;;;;1;0;0;0;
1021;P1021;Color:radio:0;Black:0;;Black-P1021;;;0;0;0;0;0;0;0;0;0;2999-12-31;;;;1;0;0;0;
1021;P1021;Color:radio:0;Purple:0;;Purple-P1021;;;0;0;0;0;0;0;0;0;0;2999-12-31;;;;1;0;0;0;
1021;P1021;Color:radio:0;Random:0;;Random-P1021;;;0;0;0;0;0;0;0;0;0;2999-12-31;;;;1;0;0;0;
1022;P1022;Color:radio:0;Red 12 pieces:0;;Red-12-pieces-P1022;;;0;0;0;0;0;0;0;0;1;2999-12-31;2,1;;;1;0;0;0;
1022;P1022;Color:radio:0;Blue 12 pieces:0;;Blue-12-pieces-P1022;;;0;0;0;0;0;0;0;0;0;2999-12-31;3;;;1;0;0;0;
1022;P1022;Color:radio:0;Black 12 pieces:0;;Black-12-pieces-P1022;;;0;0;0;0;0;0;0;0;0;2999-12-31;4;;;1;0;0;0;
1023;P1023;Color:radio:0;Red 12 pieces:0;;Red-12-pieces-P1023;;;0;0;0;0;0;0;0;0;1;2999-12-31;3,1,2;;;1;0;0;0;
1023;P1023;Color:radio:0;Blue 12 pieces:0;;Blue-12-pieces-P1023;;;0;0;0;0;0;0;0;0;0;2999-12-31;4;;;1;0;0;0;
1023;P1023;Color:radio:0;Black 12 pieces:0;;Black-12-pieces-P1023;;;0;0;0;0;0;0;0;0;0;2999-12-31;5;;;1;0;0;0;
1024;P1024;Color:radio:0;Red 12 pieces:0;;Red-12-pieces-P1024;;;0;0;0;0;0;0;0;0;1;2999-12-31;5,1,2,3,4;;;1;0;0;0;
1024;P1024;Color:radio:0;Blue 12 pieces:0;;Blue-12-pieces-P1024;;;0;0;0;0;0;0;0;0;0;2999-12-31;6;;;1;0;0;0;
1024;P1024;Color:radio:0;Black 12 pieces:0;;Black-12-pieces-P1024;;;0;0;0;0;0;0;0;0;0;2999-12-31;7;;;1;0;0;0;
1025;P1025;Color:radio:0;Red 12 pieces:0;;Red-12-pieces-P1025;;;0;0;0;0;0;0;0;0;1;2999-12-31;,1,2;;;1;0;0;0;
1025;P1025;Color:radio:0;Blue 12 pieces:0;;Blue-12-pieces-P1025;;;0;0;0;0;0;0;0;0;0;2999-12-31;3;;;1;0;0;0;
1025;P1025;Color:radio:0;Black 12 pieces:0;;Black-12-pieces-P1025;;;0;0;0;0;0;0;0;0;0;2999-12-31;4;;;1;0;0;0;
